t,bead x,bead y,bead z,focus1,focus2
 306.3680, 0.0026,-0.0086, 0.4930,1.63479514916,1.4546986107
 306.6193, 0.0026,-0.0086, 0.4930,1.63196603097,1.46735841455
 306.8591, 0.0026,-0.0091, 0.4930,1.64740950764,1.46683291631
 307.1278, 0.0026,-0.0091, 0.4930,1.64115628543,1.46849011449
 307.3601, 0.0026,-0.0091, 0.4930,1.63267938042,1.46188745821
 307.6250, 0.0026,-0.0091, 0.4930,1.64130785506,1.47152160905
 307.8848, 0.0026,-0.0091, 0.4930,1.63600794317,1.46837412846
 308.1549, 0.0026,-0.0091, 0.4930,1.63292514666,1.46606045478
 308.4279, 0.0026,-0.0091, 0.4930,1.6323057139,1.46643190838
 308.6709, 0.0026,-0.0091, 0.4930,1.64649167005,1.46738414608
 308.9231, 0.0026,-0.0091, 0.4930,1.64615074965,1.46191667768
 309.1729, 0.0026,-0.0091, 0.4930,1.64775085905,1.46946071264
 309.4171, 0.0026,-0.0091, 0.4930,1.63674704621,1.46592796795
 309.6997, 0.0026,-0.0091, 0.4930,1.63922838232,1.46345803308
 309.9403, 0.0026,-0.0091, 0.4930,1.64664431001,1.45851460891
 310.2135, 0.0026,-0.0091, 0.4930,1.646749462,1.46846443817
 310.4458, 0.0026,-0.0091, 0.4930,1.63483234678,1.46333176748
 310.7371, 0.0026,-0.0091, 0.4930,1.64238098164,1.46977065536
 311.0326, 0.0026,-0.0091, 0.4930,1.64755439299,1.4730456511
 311.3698, 0.0026,-0.0096, 0.4930,1.64236555292,1.46462786327
 311.6129, 0.0026,-0.0096, 0.4930,1.63417140572,1.47422704939
 311.8581, 0.0026,-0.0096, 0.4930,1.63519792982,1.47062376837
 312.1319, 0.0026,-0.0096, 0.4930,1.63416770968,1.46693646281
 312.3710, 0.0026,-0.0096, 0.4930,1.63433814133,1.46966448227
 312.6367, 0.0026,-0.0096, 0.4930,1.64857416577,1.47286488238
 312.9060, 0.0026,-0.0096, 0.4930,1.63488967529,1.47147469684
 313.1424, 0.0026,-0.0096, 0.4930,1.63625891279,1.46188827886
 313.4799, 0.0026,-0.0096, 0.4930,1.62869930216,1.46149946194
 313.6710, 0.0026,-0.0096, 0.4930,1.63952941338,1.45497372612
 313.9454, 0.0026,-0.0096, 0.4930,1.63201392293,1.46878980495
